index,V5,V11,V12,V13,V14,V22,V25,V27,Class
629535,267,1687,1,0,80,2.4265,0.8182,0.5822,0
114895,108,1687,1,0,80,2.0334,0.7931,0.2984,0
53197,71,1623,1,0,100,1.8513,0.6667,0.215,0
764094,176,1353,0,1,290,2.2455,0.8444,0.5212,0
575797,2409,1353,0,1,185,3.3818,0.9338,1.0,0
966188,630,1387,0,1,40,2.7993,0.8736,0.9874,0
266314,9052,1687,0,1,150,3.9567,0.9205,1.0,0
785504,132,1687,0,1,150,2.1206,0.5,0.3359,0
714926,264,1687,0,1,150,2.4216,0.5,0.5593,0
209468,1506,1687,0,1,150,3.1778,0.9024,1.0,0
504707,442,1687,0,1,150,2.6454,0.75,0.8612,0
364738,284,1687,0,1,150,2.4533,0.8438,0.9048,0
188443,480,1687,0,1,150,2.6812,0.7778,0.9093,0
409616,433,1687,0,1,150,2.6365,0.85,0.8299,0
993161,728,1687,0,1,150,2.8621,0.7692,0.9888,0
490669,1097,1687,0,1,150,3.0402,0.8864,1.0,0
863648,5044,1687,0,1,150,3.7028,0.8657,1.0,0
239588,552,1687,0,1,150,2.7419,0.8082,0.9918,0
500286,137,1687,0,1,150,2.1367,0.72,0.2998,0
94883,209,1687,0,1,200,2.3201,0.5556,0.5362,0
671972,284,1687,0,1,200,2.4533,0.6765,0.6173,0
318288,153,1687,0,1,200,2.1847,0.6897,0.4317,0
476998,106,1687,0,1,200,2.0253,0.5263,0.2942,0
483912,264,1687,0,1,200,2.4216,0.7436,0.6422,0
78626,201,1687,0,1,200,2.3032,0.7273,0.4913,0
905490,171,1373,0,1,40,2.233,0.6087,0.3464,0
948976,395,1373,0,1,40,2.5966,0.6409999999999999,0.8355,0
907673,85,1627,0,1,40,1.9294,0.6667,0.215,0
700841,3214,1373,0,1,40,3.5071,0.9163,1.0,0
181598,386,1373,0,1,40,2.5866,0.6579,0.7822,0
677129,182,1373,0,1,40,2.2601,0.7879,0.3834,0
731680,527,1387,0,1,40,2.7218,0.7936,0.9691,0
822970,158,1387,0,1,40,2.1987,0.7083,0.2901,0
723999,214,1387,0,1,50,2.3304,0.6429,0.4629999999999999,0
821993,994,1387,0,1,50,2.9974,0.629,0.9994,0
733268,367,1387,0,1,50,2.5647,0.7209,0.8061,0
310218,320,1353,0,1,70,2.5052,0.6923,0.7512,0
839783,378,1353,0,1,70,2.5775,0.8591,0.9381,0
411012,210,1333,0,1,40,2.3222,0.7917,0.7659,0
49443,201,1633,0,1,250,2.3032,0.4783,0.4564,0
206872,386,1687,0,1,200,2.5866,0.8148,0.8299,0
351509,324,1353,0,1,70,2.5106,0.6667,0.7037,0
120754,234,1627,0,1,40,2.3692,0.5385,0.5162,0
805847,340,1627,0,1,40,2.5315,0.8,0.7889,0
306731,98,1690,1,0,60,1.9912,0.6191,0.2901,0
809360,267,1690,1,0,60,2.4265,0.8163,0.7161,0
863293,56,1686,1,0,60,1.7482,0.4615,0.1965,0
878823,71,1682,1,0,60,1.8513,0.6471,0.2083,0
495915,90,1688,1,0,60,1.9542,0.0,0.2583,0
826755,55,1690,1,0,60,1.7404,0.3636,0.1822,0
650057,58,1690,1,0,60,1.7634,0.4615,0.1965,0
189156,567,1690,1,0,60,2.7536,0.8333,0.944,0
970680,182,1688,1,0,60,2.2601,0.6667,0.4025,0
339433,154,1650,1,0,69,2.1875,0.5833,0.3977,0
272733,188,1648,1,0,69,2.2742,0.7353,0.5063,0
892959,146,1646,1,0,69,2.1644,0.6667,0.4025,0
615206,51,1650,1,0,69,1.7076,-0.5385,0.1832,0
826190,184,1650,1,0,100,2.2648,0.6,0.5951,0
455270,67,1710,1,0,100,1.8261,0.3333,0.2018,0
693003,64,1360,1,0,100,1.8062,0.6,0.1954,0
805165,53,1360,1,0,100,1.7243,0.3,0.1753,0
446970,60,1362,1,0,120,1.7781,0.3636,0.1822,0
348995,76,1362,1,0,120,1.8808,0.1818,0.2051,0
